2017-07-17 10:03:16,360 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\aasantos6\Desktop\Nova pasta (2)\collections-learning\Colections\src\main\resources
2017-07-17 10:03:16,362 [Worker-26] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-17 10:03:16,378 [Worker-26] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\aasantos6\Desktop\Nova pasta (2)\collections-learning\Colections\src\test\resources
2017-07-17 10:03:59,111 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-17 10:03:59,127 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\aasantos6\Desktop\Nova pasta (2)\collections-learning\Colections\src\main\resources
2017-07-17 10:03:59,142 [Worker-1] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-17 10:03:59,158 [Worker-1] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\aasantos6\Desktop\Nova pasta (2)\collections-learning\Colections\src\test\resources
2017-07-18 10:34:25,282 [Worker-3] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-07-18 10:34:29,100 [Worker-5] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Colections:Colections:0.0.1 @ C:\Users\aasantos6\Desktop\Nova pasta (2)\collections-learning\Colections\pom.xml.
2017-07-18 10:34:29,100 [Worker-7] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: Colections:Colections:0.0.1 @ C:\Users\aasantos6\Desktop\Nova pasta (2)\collections-learning\Colections\pom.xml.
2017-07-18 10:34:34,357 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-18 10:34:34,386 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\aasantos6\Desktop\Nova pasta (2)\collections-learning\Colections\src\main\resources
2017-07-18 10:34:34,394 [Worker-5] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-07-18 10:34:34,476 [Worker-5] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\aasantos6\Desktop\Nova pasta (2)\collections-learning\Colections\src\test\resources
